name,constituency_code,type,country_name,country_code,region_name,region_code,polling_on,valid_vote_count,majority,population_count
Birmingham Yardley,E14001100,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,41906,13141,71912
Bishop Auckland,E14001101,County,England,E92000001,North East,E12000001,2019-12-12,49511,8113,70879
Blackburn,E14001102,Borough,England,E92000001,North West,E12000002,2019-12-12,43645,18616,70586
Blackley and Middleton South,E14001103,Borough,England,E92000001,North West,E12000002,2019-12-12,37548,11558,71375
Blackpool North and Fleetwood,E14001104,Borough,England,E92000001,North West,E12000002,2019-12-12,50048,10119,75396
Blackpool South,E14001105,Borough,England,E92000001,North West,E12000002,2019-12-12,42414,3700,76071
Blaenau Gwent and Rhymney,W07000084,County,Wales,W92000004,,,2019-12-12,42094,12969,71079
Blaydon and Consett,E14001106,County,England,E92000001,North East,E12000001,2019-12-12,46965,4285,70163
Blyth and Ashington,E14001107,County,England,E92000001,North East,E12000001,2019-12-12,42990,6118,75452
Bognor Regis and Littlehampton,E14001108,Borough,England,E92000001,South East,E12000008,2019-12-12,52510,22682,76985
Bolsover,E14001109,County,England,E92000001,East Midlands,E12000004,2019-12-12,45676,5273,74680
Bolton North East,E14001110,Borough,England,E92000001,North West,E12000002,2019-12-12,49844,1278,77020
Bolton South and Walkden,E14001111,Borough,England,E92000001,North West,E12000002,2019-12-12,43984,10929,75716
Bolton West,E14001112,County,England,E92000001,North West,E12000002,2019-12-12,49868,10619,72125
Bootle,E14001113,Borough,England,E92000001,North West,E12000002,2019-12-12,49174,34556,75194
Boston and Skegness,E14001114,County,England,E92000001,East Midlands,E12000004,2019-12-12,45018,27402,75806
Bournemouth East,E14001115,Borough,England,E92000001,South West,E12000009,2019-12-12,49328,8817,73173
Bournemouth West,E14001116,Borough,England,E92000001,South West,E12000009,2019-12-12,45752,9941,72094
Bracknell,E14001117,Borough,England,E92000001,South East,E12000008,2019-12-12,46888,14129,70247
Bradford East,E14001118,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,43036,17761,72150
Bradford South,E14001119,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,40889,2729,70890
Bradford West,E14001120,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,44261,27019,71258
Braintree,E14001121,County,England,E92000001,East of England,E12000006,2019-12-12,51675,25466,75662
