name,constituency_code,type,country_name,country_code,region_name,region_code,polling_on,valid_vote_count,majority,population_count
Halesowen,E14001261,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,43724,12082,69907
Halifax,E14001262,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,47797,1902,74563
Hamble Valley,E14001263,County,England,E92000001,South East,E12000008,2019-12-12,57041,23488,76902
Hamilton and Clyde Valley,S14000092,County,Scotland,S92000003,,,2019-12-12,47421,7758,74577
Hammersmith and Chiswick,E14001264,Borough,England,E92000001,London,E12000007,2019-12-12,53277,10823,74746
East Hampshire,E14001214,County,England,E92000001,South East,E12000008,2019-12-12,54175,20200,69959
North East Hampshire,E14001392,County,England,E92000001,South East,E12000008,2019-12-12,56730,22433,73306
North West Hampshire,E14001403,County,England,E92000001,South East,E12000008,2019-12-12,51687,21507,76004
Hampstead and Highgate,E14001265,Borough,England,E92000001,London,E12000007,2019-12-12,57387,13400,74222
"Harborough, Oadby and Wigston",E14001266,County,England,E92000001,East Midlands,E12000004,2019-12-12,52585,15608,74810
Harlow,E14001267,County,England,E92000001,East of England,E12000006,2019-12-12,47360,16694,73479
Harpenden and Berkhamsted,E14001268,County,England,E92000001,East of England,E12000006,2019-12-12,55738,15044,71635
Harrogate and Knaresborough,E14001269,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,55543,8787,75800
Harrow East,E14001270,Borough,England,E92000001,London,E12000007,2019-12-12,52287,8987,76299
Harrow West,E14001271,Borough,England,E92000001,London,E12000007,2019-12-12,49793,9098,74060
Hartlepool,E14001272,County,England,E92000001,North East,E12000001,2019-12-12,41037,3595,71228
Harwich and North Essex,E14001273,County,England,E92000001,East of England,E12000006,2019-12-12,54084,17651,74838
Hastings and Rye,E14001274,County,England,E92000001,South East,E12000008,2019-12-12,52566,3532,75581
Havant,E14001275,Borough,England,E92000001,South East,E12000008,2019-12-12,45959,21792,72766
Hayes and Harlington,E14001276,Borough,England,E92000001,London,E12000007,2019-12-12,43994,9261,72897
Hazel Grove,E14001277,County,England,E92000001,North West,E12000002,2019-12-12,50441,4219,72941
Hemel Hempstead,E14001278,County,England,E92000001,East of England,E12000006,2019-12-12,49065,13161,70496
Hendon,E14001279,Borough,England,E92000001,London,E12000007,2019-12-12,45593,3661,71496
Henley and Thame,E14001280,County,England,E92000001,South East,E12000008,2019-12-12,53842,11901,70626
Hereford and South Herefordshire,E14001281,County,England,E92000001,West Midlands,E12000005,2019-12-12,46266,19321,71125
North Herefordshire,E14001395,County,England,E92000001,West Midlands,E12000005,2019-12-12,54413,25719,70894
Herne Bay and Sandwich,E14001282,County,England,E92000001,South East,E12000008,2019-12-12,50962,20372,76028
Hertford and Stortford,E14001283,County,England,E92000001,East of England,E12000006,2019-12-12,55635,17806,75396
North East Hertfordshire,E14001393,County,England,E92000001,East of England,E12000006,2019-12-12,55327,18189,76849
South West Hertfordshire,E14001496,County,England,E92000001,East of England,E12000006,2019-12-12,50878,17623,71552
Hertsmere,E14001284,County,England,E92000001,East of England,E12000006,2019-12-12,52513,22980,73256
Hexham,E14001285,County,England,E92000001,North East,E12000001,2019-12-12,53945,12186,72738
Heywood and Middleton North,E14001286,County,England,E92000001,North West,E12000002,2019-12-12,42446,680,73306
High Peak,E14001287,County,England,E92000001,East Midlands,E12000004,2019-12-12,54173,590,73960
Hinckley and Bosworth,E14001288,County,England,E92000001,East Midlands,E12000004,2019-12-12,49192,22851,75683
Hitchin,E14001289,County,England,E92000001,East of England,E12000006,2019-12-12,54061,11264,72112
Holborn and St Pancras,E14001290,Borough,England,E92000001,London,E12000007,2019-12-12,44582,22766,75475
Honiton and Sidmouth,E14001291,County,England,E92000001,South West,E12000009,2019-12-12,56809,26229,74365
Hornchurch and Upminster,E14001292,Borough,England,E92000001,London,E12000007,2019-12-12,51053,21735,76938
Hornsey and Friern Barnet,E14001293,Borough,England,E92000001,London,E12000007,2019-12-12,52535,16607,70565
Horsham,E14001294,County,England,E92000001,South East,E12000008,2019-12-12,55850,17353,76981
Houghton and Sunderland South,E14001295,County,England,E92000001,North East,E12000001,2019-12-12,43798,3271,76883
Hove and Portslade,E14001296,Borough,England,E92000001,South East,E12000008,2019-12-12,56391,17044,73726
Huddersfield,E14001297,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,49360,7441,76044
Kingston upon Hull East,E14001313,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,33953,2495,72622
Kingston upon Hull North and Cottingham,E14001314,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,44941,5922,76039
Kingston upon Hull West and Haltemprice,E14001315,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,41631,3626,74321
Huntingdon,E14001298,County,England,E92000001,East of England,E12000006,2019-12-12,56317,21645,75590
Hyndburn,E14001299,County,England,E92000001,North West,E12000002,2019-12-12,42406,2951,71145
Ilford North,E14001300,Borough,England,E92000001,London,E12000007,2019-12-12,51761,9030,74684
Ilford South,E14001301,Borough,England,E92000001,London,E12000007,2019-12-12,46368,20409,74065
Inverclyde and Renfrewshire West,S14000093,County,Scotland,S92000003,,,2019-12-12,46323,8933,70418
"Inverness, Skye and West Ross-shire",S14000094,County,Scotland,S92000003,,,2019-12-12,50783,12865,76903
Ipswich,E14001302,Borough,England,E92000001,East of England,E12000006,2019-12-12,49579,5479,75117
Isle of Wight East,E14001303,County,England,E92000001,South East,E12000008,2019-12-12,36339,12119,56805
Isle of Wight West,E14001304,County,England,E92000001,South East,E12000008,2019-12-12,38103,11618,54911
Islington North,E14001305,Borough,England,E92000001,London,E12000007,2019-12-12,53805,26188,73970
Islington South and Finsbury,E14001306,Borough,England,E92000001,London,E12000007,2019-12-12,52143,19458,75905
Jarrow and Gateshead East,E14001307,Borough,England,E92000001,North East,E12000001,2019-12-12,40506,10317,71106
Keighley and Ilkley,E14001308,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,52600,2218,72954
Kenilworth and Southam,E14001309,County,England,E92000001,West Midlands,E12000005,2019-12-12,55779,22303,71451
Kensington and Bayswater,E14001310,Borough,England,E92000001,London,E12000007,2019-12-12,54813,390,75980
Kettering,E14001311,County,England,E92000001,East Midlands,E12000004,2019-12-12,52037,17363,76163
Kilmarnock and Loudoun,S14000040,County,Scotland,S92000003,,,2019-12-12,47631,12659,74801
Kingston and Surbiton,E14001312,Borough,England,E92000001,London,E12000007,2019-12-12,57095,11174,75410
Kingswinford and South Staffordshire,E14001316,County,England,E92000001,West Midlands,E12000005,2019-12-12,51047,29355,71896
Knowsley,E14001317,Borough,England,E92000001,North West,E12000002,2019-12-12,46419,32901,71228
Lagan Valley,N05000009,County,Northern Ireland,N92000002,,,2019-12-12,45707,7475,76332
West Lancashire,E14001577,County,England,E92000001,North West,E12000002,2019-12-12,52663,8336,73652
Lancaster and Wyre,E14001318,County,England,E92000001,North West,E12000002,2019-12-12,49382,3012,74992
Leeds Central and Headingley,E14001319,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,43662,19879,75396
Leeds East,E14001320,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,44451,2723,75330
Leeds North East,E14001321,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,50500,17089,70976
Leeds North West,E14001322,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,55672,2001,71607
Leeds South,E14001323,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,43249,13886,74726
Leeds South West and Morley,E14001324,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,43602,7114,71376
Leeds West and Pudsey,E14001325,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,47968,2963,70270
Leicester East,E14001326,Borough,England,E92000001,East Midlands,E12000004,2019-12-12,48240,5999,76465
Leicester South,E14001327,Borough,England,E92000001,East Midlands,E12000004,2019-12-12,47508,22023,71007
Leicester West,E14001328,Borough,England,E92000001,East Midlands,E12000004,2019-12-12,38595,4882,72848
Mid Leicestershire,E14001364,County,England,E92000001,East Midlands,E12000004,2019-12-12,55193,20188,76173
North West Leicestershire,E14001404,County,England,E92000001,East Midlands,E12000004,2019-12-12,50594,18548,75373
South Leicestershire,E14001488,County,England,E92000001,East Midlands,E12000004,2019-12-12,54786,25534,75634
Leigh and Atherton,E14001329,Borough,England,E92000001,North West,E12000002,2019-12-12,44283,293,76363
Lewes,E14001330,County,England,E92000001,South East,E12000008,2019-12-12,55580,4126,75091
Lewisham East,E14001331,Borough,England,E92000001,London,E12000007,2019-12-12,46832,19979,71706
Lewisham North,E14001332,Borough,England,E92000001,London,E12000007,2019-12-12,50586,28949,73504
Lewisham West and East Dulwich,E14001333,Borough,England,E92000001,London,E12000007,2019-12-12,46226,23823,69904
Leyton and Wanstead,E14001334,Borough,England,E92000001,London,E12000007,2019-12-12,48865,21121,71330
Lichfield,E14001335,County,England,E92000001,West Midlands,E12000005,2019-12-12,52465,22609,73844
Lincoln,E14001336,Borough,England,E92000001,East Midlands,E12000004,2019-12-12,50629,3514,74128
Liverpool Garston,E14001337,Borough,England,E92000001,North West,E12000002,2019-12-12,49096,28728,70372
Liverpool Riverside,E14001338,Borough,England,E92000001,North West,E12000002,2019-12-12,42416,32800,70157
Liverpool Walton,E14001339,Borough,England,E92000001,North West,E12000002,2019-12-12,46551,33729,71181
Liverpool Wavertree,E14001340,Borough,England,E92000001,North West,E12000002,2019-12-12,51466,31926,71076
Liverpool West Derby,E14001341,Borough,England,E92000001,North West,E12000002,2019-12-12,46648,32321,70730
Livingston,S14000095,County,Scotland,S92000003,,,2019-12-12,49254,12424,75454
Llanelli,W07000098,County,Wales,W92000004,,,2019-12-12,43892,3793,69895
East Londonderry,N05000006,County,Northern Ireland,N92000002,,,2019-12-12,41101,9707,72213
Lothian East,S14000096,County,Scotland,S92000003,,,2019-12-12,50777,2207,71287
Loughborough,E14001342,County,England,E92000001,East Midlands,E12000004,2019-12-12,51597,6091,73902
Louth and Horncastle,E14001343,County,England,E92000001,East Midlands,E12000004,2019-12-12,50933,27883,75959
Lowestoft,E14001344,County,England,E92000001,East of England,E12000006,2019-12-12,45386,14850,73967
Luton North,E14001345,Borough,England,E92000001,East of England,E12000006,2019-12-12,44590,8740,73266
Luton South and South Bedfordshire,E14001346,County,England,E92000001,East of England,E12000006,2019-12-12,45100,6066,70197
Macclesfield,E14001347,County,England,E92000001,North West,E12000002,2019-12-12,53867,10711,75881
Maidenhead,E14001348,County,England,E92000001,South East,E12000008,2019-12-12,50914,17101,73463
Maidstone and Malling,E14001349,County,England,E92000001,South East,E12000008,2019-12-12,48907,19448,73084
Makerfield,E14001350,Borough,England,E92000001,North West,E12000002,2019-12-12,45138,4955,76517
Maldon,E14001351,County,England,E92000001,East of England,E12000006,2019-12-12,53704,32001,76794
Manchester Central,E14001352,Borough,England,E92000001,North West,E12000002,2019-12-12,40480,17970,75311
Manchester Rusholme,E14001353,Borough,England,E92000001,North West,E12000002,2019-12-12,40149,27901,70692
Manchester Withington,E14001354,Borough,England,E92000001,North West,E12000002,2019-12-12,49794,25297,71614
Mansfield,E14001355,County,England,E92000001,East Midlands,E12000004,2019-12-12,47745,16247,74680
Melksham and Devizes,E14001356,County,England,E92000001,South West,E12000009,2019-12-12,55764,17028,71823
Melton and Syston,E14001357,County,England,E92000001,East Midlands,E12000004,2019-12-12,47792,19004,71615
Meriden and Solihull East,E14001358,County,England,E92000001,West Midlands,E12000005,2019-12-12,48778,20270,75309
Merthyr Tydfil and Aberdare,W07000099,County,Wales,W92000004,,,2019-12-12,43106,13410,74805
Middlesbrough and Thornaby East,E14001367,Borough,England,E92000001,North East,E12000001,2019-12-12,37589,11141,71742
Middlesbrough South and East Cleveland,E14001368,County,England,E92000001,North East,E12000001,2019-12-12,45023,10299,69967
Midlothian,S14000045,County,Scotland,S92000003,,,2019-12-12,48221,5705,71210
Milton Keynes Central,E14001369,Borough,England,E92000001,South East,E12000008,2019-12-12,52650,4952,76708
Milton Keynes North,E14001370,County,England,E92000001,South East,E12000008,2019-12-12,48284,6327,70620
Mitcham and Morden,E14001371,Borough,England,E92000001,London,E12000007,2019-12-12,51633,15879,76877
Monmouthshire,W07000101,County,Wales,W92000004,,,2019-12-12,52872,10837,72681
Montgomeryshire and Glyndwr,W07000102,County,Wales,W92000004,,,2019-12-12,51208,14765,74223
"Moray West, Nairn and Strathspey",S14000098,County,Scotland,S92000003,,,2019-12-12,56272,2906,76237
Morecambe and Lunesdale,E14001372,County,England,E92000001,North West,E12000002,2019-12-12,55652,14188,76040
"Motherwell, Wishaw and Carluke",S14000099,County,Scotland,S92000003,,,2019-12-12,44919,8294,72318
Na h-Eileanan an Iar,S14000027,County,Scotland,S92000003,,,2019-12-12,14477,2438,21177
Neath and Swansea East,W07000103,County,Wales,W92000004,,,2019-12-12,44824,8451,74705
New Forest East,E14001373,County,England,E92000001,South East,E12000008,2019-12-12,50786,25251,73823
New Forest West,E14001374,County,England,E92000001,South East,E12000008,2019-12-12,50306,24403,71009
Newark,E14001375,County,England,E92000001,East Midlands,E12000004,2019-12-12,55387,21697,76478
Newbury,E14001376,County,England,E92000001,South East,E12000008,2019-12-12,50971,11460,71631
Newcastle upon Tyne Central and West,E14001377,Borough,England,E92000001,North East,E12000001,2019-12-12,48135,15731,76460
Newcastle upon Tyne East and Wallsend,E14001378,Borough,England,E92000001,North East,E12000001,2019-12-12,49963,17793,76875
Newcastle upon Tyne North,E14001379,Borough,England,E92000001,North East,E12000001,2019-12-12,54143,6823,76503
Newcastle-under-Lyme,E14001380,County,England,E92000001,West Midlands,E12000005,2019-12-12,47363,8265,70025
Newport East,W07000104,County,Wales,W92000004,,,2019-12-12,46405,5239,76159
Newport West and Islwyn,W07000105,County,Wales,W92000004,,,2019-12-12,48537,2001,76234
Newry and Armagh,N05000011,County,Northern Ireland,N92000002,,,2019-12-12,46571,9673,74585
Newton Abbot,E14001381,County,England,E92000001,South West,E12000009,2019-12-12,52410,17456,72956
Newton Aycliffe and Spennymoor,E14001382,County,England,E92000001,North East,E12000001,2019-12-12,43372,3408,71299
Mid Norfolk,E14001365,County,England,E92000001,East of England,E12000006,2019-12-12,49110,20388,71060
North Norfolk,E14001396,County,England,E92000001,East of England,E12000006,2019-12-12,51562,14492,70719
North West Norfolk,E14001405,County,England,E92000001,East of England,E12000006,2019-12-12,48569,21077,75200
South Norfolk,E14001489,County,England,E92000001,East of England,E12000006,2019-12-12,51857,17175,69837
South West Norfolk,E14001497,County,England,E92000001,East of England,E12000006,2019-12-12,48049,24180,72496
Normanton and Hemsworth,E14001383,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,43367,3520,75388
North Down,N05000013,County,Northern Ireland,N92000002,,,2019-12-12,42757,2641,70412
Northampton North,E14001406,Borough,England,E92000001,East Midlands,E12000004,2019-12-12,51084,3932,75713
Northampton South,E14001407,Borough,England,E92000001,East Midlands,E12000004,2019-12-12,49608,13324,71512
South Northamptonshire,E14001490,County,England,E92000001,East Midlands,E12000004,2019-12-12,55827,23671,76555
North Northumberland,E14001397,County,England,E92000001,North East,E12000001,2019-12-12,52740,17306,72541
Norwich North,E14001408,Borough,England,E92000001,East of England,E12000006,2019-12-12,50423,6365,71441
Norwich South,E14001409,Borough,England,E92000001,East of England,E12000006,2019-12-12,51308,12583,73301
Nottingham East,E14001410,Borough,England,E92000001,East Midlands,E12000004,2019-12-12,44806,18942,75327
Nottingham North and Kimberley,E14001411,Borough,England,E92000001,East Midlands,E12000004,2019-12-12,43037,2490,74515
Nottingham South,E14001412,Borough,England,E92000001,East Midlands,E12000004,2019-12-12,45126,10041,76076
Nuneaton,E14001413,County,England,E92000001,West Midlands,E12000005,2019-12-12,45190,13144,70335
Old Bexley and Sidcup,E14001414,Borough,England,E92000001,London,E12000007,2019-12-12,51867,20769,74317
Oldham East and Saddleworth,E14001415,County,England,E92000001,North West,E12000002,2019-12-12,46164,1499,72997
"Oldham West, Chadderton and Royton",E14001416,Borough,England,E92000001,North West,E12000002,2019-12-12,44434,11127,74183
Orkney and Shetland,S14000051,County,Scotland,S92000003,,,2019-12-12,23160,2507,34824
Orpington,E14001417,Borough,England,E92000001,London,E12000007,2019-12-12,48958,20627,71571
Ossett and Denby Dale,E14001418,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,48608,11027,71595
Oxford East,E14001419,Borough,England,E92000001,South East,E12000008,2019-12-12,45598,15959,72371
Oxford West and Abingdon,E14001420,County,England,E92000001,South East,E12000008,2019-12-12,52915,9577,72004
Paisley and Renfrewshire North,S14000101,Burgh,Scotland,S92000003,,,2019-12-12,46778,11753,69941
Paisley and Renfrewshire South,S14000102,County,Scotland,S92000003,,,2019-12-12,46078,11023,69813
Peckham,E14001421,Borough,England,E92000001,London,E12000007,2019-12-12,44547,26553,71176
Mid and South Pembrokeshire,W07000100,County,Wales,W92000004,,,2019-12-12,54971,8621,76820
Pendle and Clitheroe,E14001422,County,England,E92000001,North West,E12000002,2019-12-12,48510,11568,76941
Penistone and Stocksbridge,E14001423,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,49520,7210,71377
Penrith and Solway,E14001424,County,England,E92000001,North West,E12000002,2019-12-12,55778,13760,76720
Perth and Kinross-shire,S14000103,County,Scotland,S92000003,,,2019-12-12,56485,2364,76320
Peterborough,E14001425,County,England,E92000001,East of England,E12000006,2019-12-12,47232,2333,72273
Plymouth Moor View,E14001426,Borough,England,E92000001,South West,E12000009,2019-12-12,48152,13262,73378
Plymouth Sutton and Devonport,E14001427,Borough,England,E92000001,South West,E12000009,2019-12-12,49263,5122,73495
"Pontefract, Castleford and Knottingley",E14001428,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,41268,1082,72751
Pontypridd,W07000106,County,Wales,W92000004,,,2019-12-12,45579,8798,73743
Poole,E14001429,Borough,England,E92000001,South West,E12000009,2019-12-12,48801,18608,72162
Poplar and Limehouse,E14001430,Borough,England,E92000001,London,E12000007,2019-12-12,51665,22047,75814
Portsmouth North,E14001431,Borough,England,E92000001,South East,E12000008,2019-12-12,45910,15780,71844
Portsmouth South,E14001432,Borough,England,E92000001,South East,E12000008,2019-12-12,47425,5363,74253
Preston,E14001433,Borough,England,E92000001,North West,E12000002,2019-12-12,43112,11850,72946
Putney,E14001434,Borough,England,E92000001,London,E12000007,2019-12-12,55526,4416,73041
Queen's Park and Maida Vale,E14001435,Borough,England,E92000001,London,E12000007,2019-12-12,44799,18874,75256
Rawmarsh and Conisbrough,E14001436,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,40544,1257,70272
Rayleigh and Wickford,E14001437,County,England,E92000001,East of England,E12000006,2019-12-12,52997,30348,76422
Reading Central,E14001438,Borough,England,E92000001,South East,E12000008,2019-12-12,51530,8351,71283
Reading West and Mid Berkshire,E14001439,County,England,E92000001,South East,E12000008,2019-12-12,49444,16758,69999
Redcar,E14001440,Borough,England,E92000001,North East,E12000001,2019-12-12,44720,4878,71331
Redditch,E14001441,County,England,E92000001,West Midlands,E12000005,2019-12-12,47501,18423,69921
Reigate,E14001442,County,England,E92000001,South East,E12000008,2019-12-12,53469,19220,76139
East Renfrewshire,S14000021,County,Scotland,S92000003,,,2019-12-12,55357,5426,72959
Rhondda and Ogmore,W07000107,County,Wales,W92000004,,,2019-12-12,42549,17377,73557
Ribble Valley,E14001443,County,England,E92000001,North West,E12000002,2019-12-12,52240,16839,75993
Richmond and Northallerton,E14001444,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,51880,24331,72744
Richmond Park,E14001445,Borough,England,E92000001,London,E12000007,2019-12-12,59082,7725,75037
Rochdale,E14001446,County,England,E92000001,North West,E12000002,2019-12-12,42058,8109,71697
Rochester and Strood,E14001447,County,England,E92000001,South East,E12000008,2019-12-12,44635,13553,72155
Romford,E14001448,Borough,England,E92000001,London,E12000007,2019-12-12,48359,18536,73730
Romsey and Southampton North,E14001449,County,England,E92000001,South East,E12000008,2019-12-12,54704,16251,73831
Rossendale and Darwen,E14001450,County,England,E92000001,North West,E12000002,2019-12-12,49913,9834,74593
Rother Valley,E14001451,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,45488,6135,70184
Rotherham,E14001452,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,43521,3297,75345
Rugby,E14001453,County,England,E92000001,West Midlands,E12000005,2019-12-12,51119,13395,72603
"Ruislip, Northwood and Pinner",E14001454,Borough,England,E92000001,London,E12000007,2019-12-12,52256,15810,72168
Runcorn and Helsby,E14001455,County,England,E92000001,North West,E12000002,2019-12-12,48418,5779,70950
Runnymede and Weybridge,E14001456,County,England,E92000001,South East,E12000008,2019-12-12,52669,16072,73778
Rushcliffe,E14001457,County,England,E92000001,East Midlands,E12000004,2019-12-12,59496,7354,76171
Rutherglen,S14000104,Burgh,Scotland,S92000003,,,2019-12-12,49016,5855,71612
Rutland and Stamford,E14001458,County,England,E92000001,East Midlands,E12000004,2019-12-12,53774,25537,70864
Salford,E14001459,Borough,England,E92000001,North West,E12000002,2019-12-12,41763,14248,72169
Salisbury,E14001460,County,England,E92000001,South West,E12000009,2019-12-12,52742,18848,70242
Scarborough and Whitby,E14001461,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,49724,10270,73862
Scunthorpe,E14001462,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,47258,10133,74278
Sefton Central,E14001463,County,England,E92000001,North West,E12000002,2019-12-12,57089,10414,74746
Selby,E14001464,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,52757,14838,74761
Sevenoaks,E14001465,County,England,E92000001,South East,E12000008,2019-12-12,51488,21793,73684
Sheffield Brightside and Hillsborough,E14001466,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,40366,12591,71154
Sheffield Central,E14001467,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,38067,20773,70453
Sheffield Hallam,E14001468,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,60066,1108,76637
Sheffield Heeley,E14001469,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,45695,12220,74614
Sheffield South East,E14001470,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,46896,5214,76223
Sherwood Forest,E14001471,County,England,E92000001,East Midlands,E12000004,2019-12-12,52109,16290,76543
Shipley,E14001472,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,54004,6242,74095
Shrewsbury,E14001473,County,England,E92000001,West Midlands,E12000005,2019-12-12,51554,7175,75139
North Shropshire,E14001398,County,England,E92000001,West Midlands,E12000005,2019-12-12,52271,20543,77052
South Shropshire,E14001493,County,England,E92000001,West Midlands,E12000005,2019-12-12,57736,28636,77034
Sittingbourne and Sheppey,E14001474,County,England,E92000001,South East,E12000008,2019-12-12,46763,21337,76818
Skipton and Ripon,E14001475,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,56773,22517,76758
Sleaford and North Hykeham,E14001476,County,England,E92000001,East Midlands,E12000004,2019-12-12,51537,24680,73380
Slough,E14001477,Borough,England,E92000001,South East,E12000008,2019-12-12,45560,13347,75287
Smethwick,E14001478,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,40970,10974,71195
Solihull West and Shirley,E14001479,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,50179,20798,70537
North Somerset,E14001399,County,England,E92000001,South West,E12000009,2019-12-12,56864,16184,73963
North East Somerset and Hanham,E14001394,County,England,E92000001,South West,E12000009,2019-12-12,57437,16389,73113
South Down,N05000015,County,Northern Ireland,N92000002,,,2019-12-12,45007,1623,71772
South Holland and The Deepings,E14001487,County,England,E92000001,East Midlands,E12000004,2019-12-12,49179,30838,76139
South Ribble,E14001491,County,England,E92000001,North West,E12000002,2019-12-12,49230,8515,72029
South Shields,E14001492,Borough,England,E92000001,North East,E12000001,2019-12-12,45798,8365,69725
Southampton Itchen,E14001499,Borough,England,E92000001,South East,E12000008,2019-12-12,47421,4498,72150
Southampton Test,E14001500,Borough,England,E92000001,South East,E12000008,2019-12-12,44994,6213,69960
Southend East and Rochford,E14001501,County,England,E92000001,East of England,E12000006,2019-12-12,43157,11942,70094
Southend West and Leigh,E14001502,Borough,England,E92000001,East of England,E12000006,2019-12-12,51421,15454,76824
Southgate and Wood Green,E14001503,Borough,England,E92000001,London,E12000007,2019-12-12,52712,15414,76034
Southport,E14001504,County,England,E92000001,North West,E12000002,2019-12-12,49808,6771,74168
Spelthorne,E14001505,Borough,England,E92000001,South East,E12000008,2019-12-12,49510,18393,72897
Spen Valley,E14001506,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,47209,6064,72169
St Albans,E14001507,County,England,E92000001,East of England,E12000006,2019-12-12,55297,5905,70881
St Austell and Newquay,E14001508,County,England,E92000001,South West,E12000009,2019-12-12,55098,15942,74585
St Helens North,E14001509,County,England,E92000001,North West,E12000002,2019-12-12,47561,12209,76082
St Helens South and Whiston,E14001510,Borough,England,E92000001,North West,E12000002,2019-12-12,45397,16720,70937
St Ives,E14001511,County,England,E92000001,South West,E12000009,2019-12-12,53899,5227,70107
St Neots and Mid Cambridgeshire,E14001512,County,England,E92000001,East of England,E12000006,2019-12-12,50043,12250,74699
Stafford,E14001513,County,England,E92000001,West Midlands,E12000005,2019-12-12,51311,13720,70537
Staffordshire Moorlands,E14001514,County,England,E92000001,West Midlands,E12000005,2019-12-12,47209,17659,70113
Stalybridge and Hyde,E14001515,County,England,E92000001,North West,E12000002,2019-12-12,42368,2946,73028
Stevenage,E14001516,County,England,E92000001,East of England,E12000006,2019-12-12,47683,8562,70370
Stirling and Strathallan,S14000105,County,Scotland,S92000003,,,2019-12-12,57811,8556,77008
Stockport,E14001517,Borough,England,E92000001,North West,E12000002,2019-12-12,46017,12012,74769
Stockton North,E14001518,County,England,E92000001,North East,E12000001,2019-12-12,43108,3972,69779
Stockton West,E14001519,County,England,E92000001,North East,E12000001,2019-12-12,52050,11749,70108
Stoke-on-Trent Central,E14001520,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,40610,1715,70550
Stoke-on-Trent North,E14001521,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,41848,8077,69821
Stoke-on-Trent South,E14001522,County,England,E92000001,West Midlands,E12000005,2019-12-12,46782,15393,69831
"Stone, Great Wyrley and Penkridge",E14001523,County,England,E92000001,West Midlands,E12000005,2019-12-12,46741,21922,70701
Stourbridge,E14001524,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,46311,15133,69840
Strangford,N05000016,County,Northern Ireland,N92000002,,,2019-12-12,39834,5677,70070
Stratford and Bow,E14001525,Borough,England,E92000001,London,E12000007,2019-12-12,47375,26491,73849
Stratford-on-Avon,E14001526,County,England,E92000001,West Midlands,E12000005,2019-12-12,53557,19020,72388
Streatham and Croydon North,E14001527,Borough,England,E92000001,London,E12000007,2019-12-12,51308,20038,76050
Stretford and Urmston,E14001528,Borough,England,E92000001,North West,E12000002,2019-12-12,50067,16417,73212
Stroud,E14001529,County,England,E92000001,South West,E12000009,2019-12-12,60688,2467,76249
Central Suffolk and North Ipswich,E14001156,County,England,E92000001,East of England,E12000006,2019-12-12,50412,20213,71020
Suffolk Coastal,E14001530,County,England,E92000001,East of England,E12000006,2019-12-12,52365,18355,72663
South Suffolk,E14001494,County,England,E92000001,East of England,E12000006,2019-12-12,50106,21473,71070
West Suffolk,E14001578,County,England,E92000001,East of England,E12000006,2019-12-12,49340,20797,76243
Sunderland Central,E14001531,Borough,England,E92000001,North East,E12000001,2019-12-12,43476,2964,72688
East Surrey,E14001215,County,England,E92000001,South East,E12000008,2019-12-12,51475,20565,73145
